/Volumes/Zeus/meg/MMY4/subjs/10142_20150407/10142_Switch_emptyroom_sss.fif	miss	MEG device	head	4.0069614253006876 0.9983041882514954 -0.026012446731328964 -0.05207337066531181 -0.002612451557070017 0.016131490468978882 0.9831885695457458 -0.18187807500362396 -0.0031662657856941223 0.055929046124219894 0.1807296723127365 0.9819411635398865 0.05647990480065346 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142_20150407/10142_Switch_emptyroom_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142_20150407/10142_Switch_rest_sss.fif	miss	MEG device	head	4.0069614253006876 0.9983041882514954 -0.026012446731328964 -0.05207337066531181 -0.002612451557070017 0.016131490468978882 0.9831885695457458 -0.18187807500362396 -0.0031662657856941223 0.055929046124219894 0.1807296723127365 0.9819411635398865 0.05647990480065346 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142_20150407/10142_Switch_rest_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run6_sss.fif	miss	MEG device	head	4.007958741625771 0.9984406232833862 -0.04017718881368637 -0.03876382112503052 -0.0034157850313931704 0.03203964978456497 0.9809713363647461 -0.19149254262447357 -0.002924262546002865 0.04571981728076935 0.18995191156864166 0.9807286262512207 0.05688037723302841 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run4_sss.fif	miss	MEG device	head	4.004671418573707 0.9974831938743591 -0.038791634142398834 -0.05935416370630264 -0.003645410295575857 0.027449995279312134 0.983066737651825 -0.18118120729923248 -0.002388221211731434 0.06537740677595139 0.17909590899944305 0.9816572070121765 0.055901605635881424 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run5_sss.fif	miss	MEG device	head	4.007736289640889 0.9972549080848694 -0.04158603027462959 -0.06126594543457031 -0.0029858427587896585 0.030476899817585945 0.9845854640007019 -0.1722288727760315 -0.0032987073063850403 0.06748387217521667 0.16988888382911682 0.9831499457359314 0.05626171454787254 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run1_sss.fif	miss	MEG device	head	4.009873473085463 0.9971598982810974 -0.05212448164820671 -0.0543670691549778 -0.004058356396853924 0.04250754788517952 0.9853643774986267 -0.16507768630981445 -0.0020021386444568634 0.062175948172807693 0.162297785282135 0.9847813248634338 0.053216323256492615 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run1_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run2_sss.fif	miss	MEG device	head	4.006278354674578 0.9976444840431213 -0.03776174038648605 -0.057266879826784134 -0.0046040816232562065 0.02723604254424572 0.9842715859413147 -0.17454980313777924 -0.003191041760146618 0.06295746564865112 0.17257891595363617 0.9829816222190857 0.05598178505897522 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run2_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run3_sss.fif	miss	MEG device	head	4.005031697684899 0.9973515868186951 -0.035795658826828 -0.0633123517036438 -0.0031723601277917624 0.024139514192938805 0.9840742945671082 -0.17611102759838104 -0.0027513671666383743 0.06860806047916412 0.17411629855632782 0.982332170009613 0.055552538484334946 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run3_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run4_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run5_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
/Volumes/Zeus/meg/MMY4/subjs/10142/10142_Switch_run6_ds_sss.fif	miss	MEG device	head	4.050025614444166 1.0 0.0 0.0 -0.0010734153911471367 0.0 1.0 0.0 -0.0034280032850801945 0.0 0.0 1.0 0.05452703312039375 0.0 0.0 0.0 1.0
